,Method,Beam Type,L/h,k,result
1,ASDBT,C-C,20,0.0,12.2251
2,ASDBT,C-F,5,0.0,1.89565
3,ASDBT,C-F,20,0.0,1.9496
4,ASDBT,S-S,5,0.0,5.15422
5,ASDBT,S-S,20,0.0,5.46042
44,ASDBT,C-F,5,0.2,1.76673
289,CBT,S-S,5,10.0,3.49208
290,CBT,S-S,20,10.0,3.55465
164,CBT,S-S,20,1.0,4.21634
163,CBT,S-S,5,1.0,4.14835
162,CBT,C-F,20,1.0,1.50293
161,CBT,C-F,5,1.0,1.49135
160,CBT,C-C,20,1.0,9.55538
159,CBT,C-C,5,1.0,9.36422
325,CBT,S-S,30,0.0,2.847
288,CBT,C-F,20,10.0,1.26713
122,CBT,S-S,20,0.5,4.66458
121,CBT,S-S,5,0.5,4.5936
119,CBT,C-F,5,0.5,1.65057
118,CBT,C-C,20,0.5,10.5713
117,CBT,C-C,5,0.5,10.3718
450,CBT,C-C,100,0.3,6.22
449,CBT,C-C,30,0.3,6.216
324,CBT,S-S,10,0.0,2.837
287,CBT,C-F,5,10.0,1.25648
11,CBT,S-S,20,0.0,5.47773
285,CBT,C-C,5,10.0,7.87968
243,CBT,C-C,5,5.0,8.10955
244,CBT,C-C,20,5.0,8.30064
245,CBT,C-F,5,5.0,1.29416
246,CBT,C-F,20,5.0,1.30574
247,CBT,S-S,5,5.0,3.59487
248,CBT,S-S,20,5.0,3.66283
206,CBT,S-S,20,2.0,3.84719
205,CBT,S-S,5,2.0,3.7793
286,CBT,C-C,20,10.0,8.0556
204,CBT,C-F,20,2.0,1.37142
202,CBT,C-C,20,2.0,8.71856
201,CBT,C-C,5,2.0,8.52772
6,CBT,C-C,5,0.0,12.1826
7,CBT,C-C,20,0.0,12.1826
8,CBT,C-F,5,0.0,1.93845
9,CBT,C-F,20,0.0,1.95248
10,CBT,S-S,5,0.0,5.39533
448,CBT,C-C,10,0.3,6.188
203,CBT,C-F,5,2.0,1.35985
326,CBT,S-S,100,0.0,2.849
120,CBT,C-F,20,0.5,1.66265
426,CBT,S-S,100,0.3,2.779
436,CBT,C-F,10,0.3,0.975
437,CBT,C-F,30,0.3,0.977
438,CBT,C-F,100,0.3,0.977
424,CBT,S-S,10,0.3,2.768
53,CBT,S-S,20,0.2,5.09804
425,CBT,S-S,30,0.3,2.778
51,CBT,C-F,20,0.2,1.81714
50,CBT,C-F,5,0.2,1.80418
48,CBT,C-C,5,0.2,11.3398
49,CBT,C-C,20,0.2,11.5537
52,CBT,S-S,5,0.2,5.02194
208,ESDBT,C-C,20,2.0,8.59775
207,ESDBT,C-C,5,2.0,7.18839
58,ESDBT,S-S,5,0.2,4.81053
210,ESDBT,C-F,20,2.0,1.36957
17,ESDBT,S-S,20,0.0,5.46042
59,ESDBT,S-S,20,0.2,5.08292
296,ESDBT,S-S,20,10.0,3.53896
295,ESDBT,S-S,5,10.0,3.28134
294,ESDBT,C-F,20,10.0,1.26453
453,ESDBT,C-C,100,0.3,6.215
429,ESDBT,S-S,100,0.3,2.778
211,ESDBT,S-S,5,2.0,3.62671
209,ESDBT,C-F,5,2.0,1.33268
407,ESDBT,C-C,10,0.2,10.9384
166,ESDBT,C-C,20,1.0,9.43242
427,ESDBT,S-S,10,0.3,2.737
16,ESDBT,S-S,5,0.0,5.15422
15,ESDBT,C-F,20,0.0,1.9496
14,ESDBT,C-F,5,0.0,1.89565
13,ESDBT,C-C,20,0.0,12.2238
12,ESDBT,C-C,5,0.0,10.0944
165,ESDBT,C-C,5,1.0,7.96695
428,ESDBT,S-S,30,0.3,2.774
292,ESDBT,C-C,20,10.0,7.88558
293,ESDBT,C-F,5,10.0,1.21843
170,ESDBT,S-S,20,1.0,4.20515
169,ESDBT,S-S,5,1.0,3.99139
378,ESDBT,S-S,10,0.2,5.057
212,ESDBT,S-S,20,2.0,3.83617
291,ESDBT,C-C,5,10.0,6.17594
167,ESDBT,C-F,5,1.0,1.46357
168,ESDBT,C-F,20,1.0,1.50106
125,ESDBT,C-F,5,0.5,1.61848
254,ESDBT,S-S,20,5.0,3.64832
253,ESDBT,S-S,5,5.0,3.39905
452,ESDBT,C-C,30,0.3,6.177
451,ESDBT,C-C,10,0.3,5.873
252,ESDBT,C-F,20,5.0,1.30332
439,ESDBT,C-F,10,0.3,0.97
251,ESDBT,C-F,5,5.0,1.25889
123,ESDBT,C-C,5,0.5,8.7653
250,ESDBT,C-C,20,5.0,8.1428
124,ESDBT,C-C,20,0.5,10.4297
441,ESDBT,C-F,100,0.3,0.977
440,ESDBT,C-F,30,0.3,0.977
127,ESDBT,S-S,5,0.5,4.41222
249,ESDBT,C-C,5,5.0,6.49186
128,ESDBT,S-S,20,0.5,4.65165
327,ESDBT,S-S,10,0.0,2.804
328,ESDBT,S-S,30,0.0,2.844
329,ESDBT,S-S,100,0.0,2.848
57,ESDBT,C-F,20,0.2,1.81464
56,ESDBT,C-F,5,0.2,1.76673
55,ESDBT,C-C,20,0.2,11.3884
54,ESDBT,C-C,5,0.2,9.48737
126,ESDBT,C-F,20,0.5,1.66049
264,HSDBT,S-S,20,5.0,3.6485
261,HSDBT,C-F,5,5.0,1.25919
67,HSDBT,C-F,20,0.2,1.81458
68,HSDBT,S-S,5,0.2,4.80924
260,HSDBT,C-C,20,5.0,8.14478
217,HSDBT,C-C,5,2.0,7.17656
218,HSDBT,C-C,20,2.0,8.59751
219,HSDBT,C-F,5,2.0,1.33254
220,HSDBT,C-F,20,2.0,1.36957
221,HSDBT,S-S,5,2.0,3.62647
222,HSDBT,S-S,20,2.0,3.83611
432,HSDBT,S-S,100,0.3,2.778
431,HSDBT,S-S,30,0.3,2.774
430,HSDBT,S-S,10,0.3,2.737
64,HSDBT,C-C,5,0.2,9.4659
65,HSDBT,C-C,20,0.2,11.3873
66,HSDBT,C-F,5,0.2,1.76637
259,HSDBT,C-C,5,5.0,6.494
262,HSDBT,C-F,20,5.0,1.30332
69,HSDBT,S-S,20,0.2,5.08286
263,HSDBT,S-S,5,5.0,3.40136
305,HSDBT,S-S,5,10.0,3.28169
180,HSDBT,S-S,20,1.0,4.20503
302,HSDBT,C-C,20,10.0,7.88588
303,HSDBT,C-F,5,10.0,1.21834
304,HSDBT,C-F,20,10.0,1.26453
306,HSDBT,S-S,20,10.0,3.53902
444,HSDBT,C-F,100,0.3,0.977
23,HSDBT,C-C,20,0.0,12.2242
138,HSDBT,S-S,20,0.5,4.65159
27,HSDBT,S-S,20,0.0,5.4603
137,HSDBT,S-S,5,0.5,4.41108
135,HSDBT,C-F,5,0.5,1.61815
134,HSDBT,C-C,20,0.5,10.4287
133,HSDBT,C-C,5,0.5,8.74628
24,HSDBT,C-F,5,0.0,1.89521
25,HSDBT,C-F,20,0.0,1.94954
26,HSDBT,S-S,5,0.0,5.15274
442,HSDBT,C-F,10,0.3,0.97
136,HSDBT,C-F,20,0.5,1.66049
330,HSDBT,S-S,10,0.0,2.803
301,HSDBT,C-C,5,10.0,6.16515
22,HSDBT,C-C,5,0.0,10.0699
179,HSDBT,S-S,5,1.0,3.99042
178,HSDBT,C-F,20,1.0,1.50106
177,HSDBT,C-F,5,1.0,1.46328
176,HSDBT,C-C,20,1.0,9.43158
175,HSDBT,C-C,5,1.0,7.94994
331,HSDBT,S-S,30,0.0,2.844
443,HSDBT,C-F,30,0.3,0.976
332,HSDBT,S-S,100,0.0,2.849
456,HSDBT,C-C,100,0.3,6.215
455,HSDBT,C-C,30,0.3,6.177
454,HSDBT,C-C,10,0.3,5.871
334,ICDBT,S-S,20,0.0,5.4572
485,ICDBT,C-C,20,0.5,10.4069
380,ICDBT,S-S,10,0.2,5.0454
354,ICDBT,C-F,5,0.0,1.8875
355,ICDBT,C-F,20,0.0,1.949
366,ICDBT,C-C,5,0.0,9.7796
379,ICDBT,S-S,5,0.2,4.8074
333,ICDBT,S-S,5,0.0,5.1199
484,ICDBT,C-C,5,0.5,8.5178
496,ICDBT,S-S,5,1.0,4.2288
497,ICDBT,S-S,20,1.0,4.4997
381,ICDBT,S-S,20,0.2,5.1116
508,ICDBT,C-F,5,1.0,1.4598
509,ICDBT,C-F,20,1.0,1.5022
395,ICDBT,C-F,5,0.2,1.7593
396,ICDBT,C-F,20,0.2,1.8138
408,ICDBT,C-C,5,0.2,9.2031
409,ICDBT,C-C,10,0.2,10.8303
410,ICDBT,C-C,20,0.2,11.3554
473,ICDBT,C-F,20,0.5,1.6606
521,ICDBT,C-C,20,1.0,9.4199
520,ICDBT,C-C,5,1.0,7.7534
472,ICDBT,C-F,5,0.5,1.613
367,ICDBT,C-C,20,0.0,12.1891
461,ICDBT,S-S,20,0.5,4.7856
592,ICDBT,C-C,5,5.0,6.3003
605,ICDBT,S-S,20,10.0,3.7351
604,ICDBT,S-S,5,10.0,3.4209
568,ICDBT,S-S,5,5.0,3.6766
569,ICDBT,S-S,20,5.0,4.0029
616,ICDBT,C-F,5,10.0,1.2128
617,ICDBT,C-F,20,10.0,1.2651
556,ICDBT,C-C,5,2.0,6.9967
545,ICDBT,C-F,20,2.0,1.3713
544,ICDBT,C-F,5,2.0,1.3299
628,ICDBT,C-C,5,10.0,5.9591
629,ICDBT,C-C,20,10.0,7.8634
557,ICDBT,C-C,20,2.0,8.5909
593,ICDBT,C-C,20,5.0,8.1306
532,ICDBT,S-S,5,2.0,3.9802
533,ICDBT,S-S,20,2.0,4.2652
581,ICDBT,C-F,20,5.0,1.3047
460,ICDBT,S-S,5,0.5,4.505
580,ICDBT,C-F,5,5.0,1.2551
498,ISDBT,S-S,5,1.0,4.2288
558,ISDBT,C-C,5,2.0,6.9967
559,ISDBT,C-C,20,2.0,8.5909
356,ISDBT,C-F,5,0.0,1.8872
335,ISDBT,S-S,5,0.0,5.1199
398,ISDBT,C-F,20,0.2,1.8138
397,ISDBT,C-F,5,0.2,1.759
486,ISDBT,C-C,5,0.5,8.5177
336,ISDBT,S-S,20,0.0,5.4572
511,ISDBT,C-F,20,1.0,1.5018
510,ISDBT,C-F,5,1.0,1.4591
487,ISDBT,C-C,20,0.5,10.4069
571,ISDBT,S-S,20,5.0,4.0029
595,ISDBT,C-C,20,5.0,8.1306
583,ISDBT,C-F,20,5.0,1.3042
384,ISDBT,S-S,20,0.2,5.1116
383,ISDBT,S-S,10,0.2,5.0452
382,ISDBT,S-S,5,0.2,4.8073
369,ISDBT,C-C,20,0.0,12.1891
582,ISDBT,C-F,5,5.0,1.2543
357,ISDBT,C-F,20,0.0,1.949
499,ISDBT,S-S,20,1.0,4.4997
570,ISDBT,S-S,5,5.0,3.6766
368,ISDBT,C-C,5,0.0,9.7797
594,ISDBT,C-C,5,5.0,6.3003
474,ISDBT,C-F,5,0.5,1.6125
475,ISDBT,C-F,20,0.5,1.6604
619,ISDBT,C-F,20,10.0,1.2648
630,ISDBT,C-C,5,10.0,5.9591
631,ISDBT,C-C,20,10.0,7.8634
618,ISDBT,C-F,5,10.0,1.2123
523,ISDBT,C-C,20,1.0,9.4199
522,ISDBT,C-C,5,1.0,7.7534
547,ISDBT,C-F,20,2.0,1.3707
463,ISDBT,S-S,20,0.5,4.7856
462,ISDBT,S-S,5,0.5,4.505
546,ISDBT,C-F,5,2.0,1.3289
413,ISDBT,C-C,20,0.2,11.3554
412,ISDBT,C-C,10,0.2,10.8303
606,ISDBT,S-S,5,10.0,3.4209
534,ISDBT,S-S,5,2.0,3.9802
411,ISDBT,C-C,5,0.2,9.203
535,ISDBT,S-S,20,2.0,4.2652
607,ISDBT,S-S,20,10.0,3.7351
621,ITDBT,C-F,20,10.0,1.2647
465,ITDBT,S-S,20,0.5,4.7856
596,ITDBT,C-C,5,5.0,6.2911
337,ITDBT,S-S,5,0.0,5.1228
489,ITDBT,C-C,20,0.5,10.4072
632,ITDBT,C-C,5,10.0,5.962
633,ITDBT,C-C,20,10.0,7.8618
488,ITDBT,C-C,5,0.5,8.5311
338,ITDBT,S-S,20,0.0,5.4572
464,ITDBT,S-S,5,0.5,4.5074
620,ITDBT,C-F,5,10.0,1.2121
359,ITDBT,C-F,20,0.0,1.949
399,ITDBT,C-F,5,0.2,1.7592
608,ITDBT,S-S,5,10.0,3.4219
476,ITDBT,C-F,5,0.5,1.6126
477,ITDBT,C-F,20,0.5,1.6604
387,ITDBT,S-S,20,0.2,5.1116
414,ITDBT,C-C,5,0.2,9.2179
358,ITDBT,C-F,5,0.0,1.8874
415,ITDBT,C-C,10,0.2,10.8313
609,ITDBT,S-S,20,10.0,3.735
386,ITDBT,S-S,10,0.2,5.0454
385,ITDBT,S-S,5,0.2,4.8099
371,ITDBT,C-C,20,0.0,12.1894
370,ITDBT,C-C,5,0.0,9.7966
597,ITDBT,C-C,20,5.0,8.1274
416,ITDBT,C-C,20,0.2,11.3556
400,ITDBT,C-F,20,0.2,1.8138
536,ITDBT,S-S,5,2.0,3.9817
573,ITDBT,S-S,20,5.0,4.0026
525,ITDBT,C-C,20,1.0,9.4201
524,ITDBT,C-C,5,1.0,7.7653
549,ITDBT,C-F,20,2.0,1.3707
513,ITDBT,C-F,20,1.0,1.5018
512,ITDBT,C-F,5,1.0,1.4592
560,ITDBT,C-C,5,2.0,7.003
561,ITDBT,C-C,20,2.0,8.5903
572,ITDBT,S-S,5,5.0,3.6752
501,ITDBT,S-S,20,1.0,4.4997
500,ITDBT,S-S,5,1.0,4.2311
537,ITDBT,S-S,20,2.0,4.2652
584,ITDBT,C-F,5,5.0,1.2537
548,ITDBT,C-F,5,2.0,1.3289
585,ITDBT,C-F,20,5.0,1.3041
586,PESDBT1,C-F,5,5.0,1.2605
575,PESDBT1,S-S,20,5.0,4.0064
574,PESDBT1,S-S,5,5.0,3.7178
388,PESDBT1,S-S,5,0.2,4.8459
389,PESDBT1,S-S,20,0.2,5.1147
527,PESDBT1,C-C,20,1.0,9.4438
563,PESDBT1,C-C,20,2.0,8.6138
466,PESDBT1,S-S,5,0.5,4.5405
401,PESDBT1,C-F,5,0.2,1.7663
402,PESDBT1,C-F,20,0.2,1.8143
467,PESDBT1,S-S,20,0.5,4.7884
526,PESDBT1,C-C,5,1.0,7.968
551,PESDBT1,C-F,20,2.0,1.3711
340,PESDBT1,S-S,20,0.0,5.4606
339,PESDBT1,S-S,5,0.0,5.1629
514,PESDBT1,C-F,5,1.0,1.4645
515,PESDBT1,C-F,20,1.0,1.5021
417,PESDBT1,C-C,5,0.2,9.4789
418,PESDBT1,C-C,20,0.2,11.3873
610,PESDBT1,S-S,5,10.0,3.4617
611,PESDBT1,S-S,20,10.0,3.7386
623,PESDBT1,C-F,20,10.0,1.2653
550,PESDBT1,C-F,5,2.0,1.3341
587,PESDBT1,C-F,20,5.0,1.3046
622,PESDBT1,C-F,5,10.0,1.2192
599,PESDBT1,C-C,20,5.0,8.1587
479,PESDBT1,C-F,20,0.5,1.6609
478,PESDBT1,C-F,5,0.5,1.6187
562,PESDBT1,C-C,5,2.0,7.1963
634,PESDBT1,C-C,5,10.0,6.1809
490,PESDBT1,C-C,5,0.5,8.7614
360,PESDBT1,C-F,5,0.0,1.8955
502,PESDBT1,S-S,5,1.0,4.2632
538,PESDBT1,S-S,5,2.0,4.0165
373,PESDBT1,C-C,20,0.0,12.2256
539,PESDBT1,S-S,20,2.0,4.2682
491,PESDBT1,C-C,20,0.5,10.4344
503,PESDBT1,S-S,20,1.0,4.5024
372,PESDBT1,C-C,5,0.0,10.0858
635,PESDBT1,C-C,20,10.0,7.8947
361,PESDBT1,C-F,20,0.0,1.9496
598,PESDBT1,C-C,5,5.0,6.512
492,PESDBT10,C-C,5,0.5,8.8136
516,PESDBT10,C-F,5,1.0,1.4674
517,PESDBT10,C-F,20,1.0,1.5024
577,PESDBT10,S-S,20,5.0,4.0105
625,PESDBT10,C-F,20,10.0,1.2658
420,PESDBT10,C-C,20,0.2,11.4047
636,PESDBT10,C-C,5,10.0,6.4115
612,PESDBT10,S-S,5,10.0,3.4986
613,PESDBT10,S-S,20,10.0,3.7423
624,PESDBT10,C-F,5,10.0,1.2265
637,PESDBT10,C-C,20,10.0,7.9285
588,PESDBT10,C-F,5,5.0,1.2678
589,PESDBT10,C-F,20,5.0,1.3052
469,PESDBT10,S-S,20,0.5,4.7898
419,PESDBT10,C-C,5,0.2,9.6093
362,PESDBT10,C-F,5,0.0,1.8999
375,PESDBT10,C-C,20,0.0,12.2464
480,PESDBT10,C-F,5,0.5,1.6218
600,PESDBT10,C-C,5,5.0,6.7596
601,PESDBT10,C-C,20,5.0,8.1925
576,PESDBT10,S-S,5,5.0,3.7603
374,PESDBT10,C-C,5,0.0,10.2373
468,PESDBT10,S-S,5,0.5,4.5542
493,PESDBT10,C-C,20,0.5,10.4491
529,PESDBT10,C-C,20,1.0,9.4574
541,PESDBT10,S-S,20,2.0,4.2704
390,PESDBT10,S-S,5,0.2,4.8612
391,PESDBT10,S-S,20,0.2,5.1163
540,PESDBT10,S-S,5,2.0,4.0383
552,PESDBT10,C-F,5,2.0,1.3378
528,PESDBT10,C-C,5,1.0,8.0735
565,PESDBT10,C-C,20,2.0,8.6314
505,PESDBT10,S-S,20,1.0,4.5039
564,PESDBT10,C-C,5,2.0,7.3335
504,PESDBT10,S-S,5,1.0,4.2775
342,PESDBT10,S-S,20,0.0,5.4624
341,PESDBT10,S-S,5,0.0,5.1807
481,PESDBT10,C-F,20,0.5,1.6611
403,PESDBT10,C-F,5,0.2,1.77
404,PESDBT10,C-F,20,0.2,1.8146
363,PESDBT10,C-F,20,0.0,1.9499
553,PESDBT10,C-F,20,2.0,1.3714
627,PESDBT5,C-F,20,10.0,1.2656
542,PESDBT5,S-S,5,2.0,4.0299
626,PESDBT5,C-F,5,10.0,1.2241
590,PESDBT5,C-F,5,5.0,1.2658
470,PESDBT5,S-S,5,0.5,4.5483
579,PESDBT5,S-S,20,5.0,4.0094
494,PESDBT5,C-C,5,0.5,8.8294
530,PESDBT5,C-C,5,1.0,8.0314
483,PESDBT5,C-F,20,0.5,1.661
495,PESDBT5,C-C,20,0.5,10.4443
578,PESDBT5,S-S,5,5.0,3.7469
482,PESDBT5,C-F,5,0.5,1.6207
506,PESDBT5,S-S,5,1.0,4.2712
507,PESDBT5,S-S,20,1.0,4.5034
602,PESDBT5,C-C,5,5.0,6.6822
567,PESDBT5,C-C,20,2.0,8.626
566,PESDBT5,C-C,5,2.0,7.2837
603,PESDBT5,C-C,20,5.0,8.1834
591,PESDBT5,C-F,20,5.0,1.305
555,PESDBT5,C-F,20,2.0,1.3713
554,PESDBT5,C-F,5,2.0,1.3366
518,PESDBT5,C-F,5,1.0,1.4664
519,PESDBT5,C-F,20,1.0,1.5023
471,PESDBT5,S-S,20,0.5,4.7893
614,PESDBT5,S-S,5,10.0,3.4846
615,PESDBT5,S-S,20,10.0,3.7411
543,PESDBT5,S-S,20,2.0,4.2697
531,PESDBT5,C-C,20,1.0,9.4529
639,PESDBT5,C-C,20,10.0,7.9178
365,PESDBT5,C-F,20,0.0,1.9498
392,PESDBT5,S-S,5,0.2,4.8546
393,PESDBT5,S-S,20,0.2,5.1157
344,PESDBT5,S-S,20,0.0,5.4618
405,PESDBT5,C-F,5,0.2,1.7687
406,PESDBT5,C-F,20,0.2,1.8145
421,PESDBT5,C-C,5,0.2,9.5581
422,PESDBT5,C-C,20,0.2,11.3991
376,PESDBT5,C-C,5,0.0,10.1767
364,PESDBT5,C-F,5,0.0,1.8983
638,PESDBT5,C-C,5,10.0,6.3258
343,PESDBT5,S-S,5,0.0,5.1729
377,PESDBT5,C-C,20,0.0,12.2396
267,PSDBT,C-F,5,5.0,1.25916
266,PSDBT,C-C,20,5.0,8.1446
265,PSDBT,C-C,5,5.0,6.49349
93,PSDBT,S-S,10,0.3,2.702
98,PSDBT,C-F,100,0.3,0.977
268,PSDBT,C-F,20,5.0,1.30332
270,PSDBT,S-S,20,5.0,3.6485
94,PSDBT,S-S,30,0.3,2.738
95,PSDBT,S-S,100,0.3,2.742
70,PSDBT,C-C,5,0.2,9.46641
96,PSDBT,C-F,10,0.3,0.97
97,PSDBT,C-F,30,0.3,0.976
144,PSDBT,S-S,20,0.5,4.65159
269,PSDBT,S-S,5,5.0,3.4012
99,PSDBT,C-C,10,0.3,5.881
75,PSDBT,S-S,20,0.2,5.08286
72,PSDBT,C-F,5,0.2,1.76637
186,PSDBT,S-S,20,1.0,4.20503
185,PSDBT,S-S,5,1.0,3.99042
184,PSDBT,C-F,20,1.0,1.50106
183,PSDBT,C-F,5,1.0,1.46328
182,PSDBT,C-C,20,1.0,9.43158
223,PSDBT,C-C,5,2.0,7.17674
224,PSDBT,C-C,20,2.0,8.59751
225,PSDBT,C-F,5,2.0,1.33254
226,PSDBT,C-F,20,2.0,1.36957
227,PSDBT,S-S,5,2.0,3.62643
228,PSDBT,S-S,20,2.0,3.83611
181,PSDBT,C-C,5,1.0,7.95034
143,PSDBT,S-S,5,0.5,4.41108
74,PSDBT,S-S,5,0.2,4.80924
73,PSDBT,C-F,20,0.2,1.81458
71,PSDBT,C-C,20,0.2,11.3873
142,PSDBT,C-F,20,0.5,1.66049
308,PSDBT,C-C,20,10.0,7.88576
140,PSDBT,C-C,20,0.5,10.4287
100,PSDBT,C-C,30,0.3,6.177
101,PSDBT,C-C,100,0.3,6.214
28,PSDBT,C-C,5,0.0,10.0705
29,PSDBT,C-C,20,0.0,12.2235
30,PSDBT,C-F,5,0.0,1.89523
31,PSDBT,C-F,20,0.0,1.94954
32,PSDBT,S-S,5,0.0,5.15274
33,PSDBT,S-S,20,0.0,5.4603
347,PSDBT,S-S,100,0.0,2.849
141,PSDBT,C-F,5,0.5,1.61817
345,PSDBT,S-S,10,0.0,2.803
346,PSDBT,S-S,30,0.0,2.844
307,PSDBT,C-C,5,10.0,6.16515
139,PSDBT,C-C,5,0.5,8.74674
309,PSDBT,C-F,5,10.0,1.21834
310,PSDBT,C-F,20,10.0,1.26453
311,PSDBT,S-S,5,10.0,3.2816
312,PSDBT,S-S,20,10.0,3.53896
129,TBT,C-F,5,0.5,1.61737
145,TBT,C-C,5,0.5,8.70047
102,TBT,S-S,10,0.3,2.701
103,TBT,S-S,30,0.3,2.738
146,TBT,C-C,20,0.5,10.4263
187,TBT,C-C,5,1.0,7.92529
104,TBT,S-S,100,0.3,2.742
105,TBT,C-F,10,0.3,0.97
174,TBT,S-S,20,1.0,4.20505
173,TBT,S-S,5,1.0,3.99023
106,TBT,C-F,30,0.3,0.976
107,TBT,C-F,100,0.3,0.977
108,TBT,C-C,10,0.3,5.875
132,TBT,S-S,20,0.5,4.65137
131,TBT,S-S,5,0.5,4.4083
172,TBT,C-F,20,1.0,1.50104
171,TBT,C-F,5,1.0,1.463
109,TBT,C-C,30,0.3,6.177
110,TBT,C-C,100,0.3,6.214
130,TBT,C-F,20,0.5,1.66044
188,TBT,C-C,20,1.0,9.43135
255,TBT,C-F,5,5.0,1.26445
271,TBT,C-C,5,5.0,6.66764
350,TBT,S-S,100,0.0,2.848
35,TBT,C-C,20,0.0,12.4142
314,TBT,C-C,20,10.0,7.91275
313,TBT,C-C,5,10.0,6.34062
300,TBT,S-S,20,10.0,3.54156
299,TBT,S-S,5,10.0,3.31343
298,TBT,C-F,20,10.0,1.26495
297,TBT,C-F,5,10.0,1.22398
34,TBT,C-C,5,0.0,10.0344
60,TBT,C-F,5,0.2,1.76554
61,TBT,C-F,20,0.2,1.81456
62,TBT,S-S,5,0.2,4.80657
63,TBT,S-S,20,0.2,5.08265
272,TBT,C-C,20,5.0,8.16985
349,TBT,S-S,30,0.0,2.844
348,TBT,S-S,10,0.0,2.805
21,TBT,S-S,20,0.0,5.46032
257,TBT,S-S,5,5.0,3.43119
256,TBT,C-F,20,5.0,1.30375
76,TBT,C-C,5,0.2,9.41764
230,TBT,C-C,20,2.0,8.60401
229,TBT,C-C,5,2.0,7.21134
216,TBT,S-S,20,2.0,3.83676
215,TBT,S-S,5,2.0,3.63438
214,TBT,C-F,20,2.0,1.36968
213,TBT,C-F,5,2.0,1.33376
77,TBT,C-C,20,0.2,11.385
20,TBT,S-S,5,0.0,5.15247
19,TBT,C-F,20,0.0,1.94957
18,TBT,C-F,5,0.0,1.89479
258,TBT,S-S,20,5.0,3.65088
81,TSDBT,C-F,20,0.2,1.81458
41,TSDBT,S-S,20,0.0,5.46036
37,TSDBT,C-C,20,0.0,12.2238
38,TSDBT,C-F,5,0.0,1.89536
39,TSDBT,C-F,20,0.0,1.9496
40,TSDBT,S-S,5,0.0,5.15313
80,TSDBT,C-F,5,0.2,1.76649
83,TSDBT,S-S,20,0.2,5.08286
78,TSDBT,C-C,5,0.2,9.47451
79,TSDBT,C-C,20,0.2,11.3876
82,TSDBT,S-S,5,0.2,4.80959
36,TSDBT,C-C,5,0.0,10.0797
458,TSDBT,C-C,30,0.3,6.193
191,TSDBT,C-F,5,1.0,1.46339
148,TSDBT,C-C,20,0.5,10.429
315,TSDBT,C-C,5,10.0,6.16794
316,TSDBT,C-C,20,10.0,7.88534
317,TSDBT,C-F,5,10.0,1.21831
318,TSDBT,C-F,20,10.0,1.26453
320,TSDBT,S-S,20,10.0,3.53896
351,TSDBT,S-S,10,0.0,2.818
352,TSDBT,S-S,30,0.0,2.846
353,TSDBT,S-S,100,0.0,2.849
394,TSDBT,S-S,10,0.2,5.0566
423,TSDBT,C-C,10,0.2,10.9357
433,TSDBT,S-S,10,0.3,2.749
434,TSDBT,S-S,30,0.3,2.775
435,TSDBT,S-S,100,0.3,2.779
445,TSDBT,C-F,10,0.3,0.972
446,TSDBT,C-F,30,0.3,0.977
447,TSDBT,C-F,100,0.3,0.977
